Lap,Time (seconds)
1,54.660
2,48.760
3,48.750
4,48.760
5,48.750
6,48.760
7,48.750
8,48.760
9,48.750
10,48.770

Total Laps,10
Total Time,493.470
Average Lap Time,49.347
Best Lap Time,48.750
