Lap,Time (seconds)
1,53.760
2,48.740
3,48.760
4,48.740
5,48.750
6,48.740
7,48.740
8,48.750
9,48.730
10,48.760

Total Laps,10
Total Time,492.470
Average Lap Time,49.247
Best Lap Time,48.730
